operator,geometry
dpd,POINT (22.21381 50.93724)
dpd,POINT (21.02387 52.24073)
dpd,POINT (15.6143 51.14380999999999)
dpd,POINT (19.96456 50.08841)
dpd,POINT (17.57787 53.6908)
dpd,POINT (19.01479 49.80991)
dpd,POINT (20.09393 52.64662)
dpd,POINT (20.50132 52.42938)
dpd,POINT (22.50581 51.14461)
dpd,POINT (20.49369 53.78226)
dpd,POINT (18.29857 54.83306999999999)
dpd,POINT (15.5768 52.4437)
dpd,POINT (20.06132 52.11675)
dpd,POINT (17.02927 54.46698000000001)
dpd,POINT (21.04828 52.19716)
dpd,POINT (20.05923 53.13514)
dpd,POINT (16.09447 51.65774)
dpd,POINT (21.55094 51.58519)
dpd,POINT (19.00171 50.60541)
dpd,POINT (21.1175 52.0935)
dpd,POINT (19.3949 54.1792)
dpd,POINT (20.19186 50.5201)
dpd,POINT (18.63556 54.26163)
dpd,POINT (18.58631 54.40314)
dpd,POINT (18.81833 51.58677)
dpd,POINT (21.18245 52.41675)
dpd,POINT (19.40315 51.74152)
dpd,POINT (21.65077 51.16107)
dpd,POINT (22.51326 52.91846)
dpd,POINT (20.53714 52.89683)
dpd,POINT (19.02288 50.26017)
dpd,POINT (22.30796 50.50351)
dpd,POINT (16.98278 52.39281)
dpd,POINT (19.55881 51.87458)
dpd,POINT (21.07557 52.1611)
dpd,POINT (22.79989 53.40164)
dpd,POINT (19.9726 50.0831)
dpd,POINT (19.38525 51.66302)
dpd,POINT (16.8089 52.63995999999999)
dpd,POINT (18.57813 54.35905)
dpd,POINT (17.03766 50.60173)
dpd,POINT (20.71743 50.4699)
dpd,POINT (22.57501 51.22353)
dpd,POINT (18.2071 50.3463)
dpd,POINT (18.95776 50.29257)
dpd,POINT (19.02708 50.30560999999999)
dpd,POINT (22.15231 53.46501)
dpd,POINT (19.90207 50.0228)
dpd,POINT (17.61701 50.64267)
dpd,POINT (19.97027 50.14256)
dpd,POINT (20.19438 50.15954)
dpd,POINT (21.15603 53.0341)
dpd,POINT (19.94945 50.04499000000001)
dpd,POINT (22.32992 50.75357)
dpd,POINT (18.3675 54.582)
dpd,POINT (19.50465 50.45494)
dpd,POINT (15.28923 51.11737)
dpd,POINT (19.15908 50.37778)
dpd,POINT (20.93471 52.17571)
dpd,POINT (22.87004 53.27643)
dpd,POINT (14.5384 53.42686)
dpd,POINT (16.59493 51.16396)
dpd,POINT (16.65549 50.43234)
dpd,POINT (16.79638 52.39364)
dpd,POINT (17.29493 50.94629)
dpd,POINT (17.07031 50.78116)
dpd,POINT (18.6647 54.2555)
dpd,POINT (17.33337 51.03283)
dpd,POINT (18.61729 53.01954)
