grid_index,geometry,dhl,dpd,fedex,inpost,poczta,ruch,ups,tot,tot_0_14,tot_15_64,tot_65__,tot_male,tot_fem,male_0_14,male_15_64,male_65__,fem_0_14,fem_15_64,fem_65__,fem_ratio,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops
61317,"POLYGON ((16.83232568088834 52.42416950381669, 16.81768080208593 52.4250112804671, 16.81906294531167 52.43395250206947, 16.83371074775531 52.43311053005418, 16.83232568088834 52.42416950381669))",0.0,0.0,0.0,2.0,1.0,0.0,0.0,1602,232,1147,223,787,815,117,569,101,115,578,122,103.55781448,4.0,1.0,0.0,6.0,0.0,0.0,0.0,11.0,10.0,0.0
61374,"POLYGON ((16.82817459219252 52.39734623346981, 16.81353847816364 52.39818742666431, 16.81491856974944 52.40712874320766, 16.82955760292007 52.40628735504186, 16.82817459219252 52.39734623346981))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,351,57,256,38,176,175,33,127,16,24,129,22,99.43181818,2.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,3.0,0.0
61386,"POLYGON ((16.83094129945186 52.41522844547264, 16.81629934421543 52.41607002781518, 16.81768080208593 52.4250112804671, 16.83232568088834 52.42416950381669, 16.83094129945186 52.41522844547264))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0
61400,"POLYGON ((16.83925788711159 52.46887431996561, 16.82459837074965 52.46971707287657, 16.82598394432633 52.47865813705496, 16.84064639184914 52.47781518812145, 16.83925788711159 52.46887431996561))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0
61420,"POLYGON ((16.83787007044247 52.45993341960364, 16.82321348516264 52.46077597754937, 16.82459837074965 52.46971707287657, 16.83925788711159 52.46887431996561, 16.83787007044247 52.45993341960364))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,5,1,3,4,0,3,3,3,3,0,133.33333333,0.0,0.0,0.0,10.0,0.0,2.0,1.0,3.0,2.0,0.0
61531,"POLYGON ((16.82679226531884 52.38840507985068, 16.81215907040298 52.38924607823204, 16.81353847816364 52.39818742666431, 16.82817459219252 52.39734623346981, 16.82679226531884 52.38840507985068))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4,13,0,9,10,3,5,0,0,8,3,111.11111111,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
61571,"POLYGON ((16.83371074775531 52.43311053005418, 16.81906294531167 52.43395250206947, 16.82044577299272 52.44289369167667, 16.83509650200563 52.44205152509078, 16.83371074775531 52.43311053005418))",1.0,0.0,0.0,1.0,1.0,0.0,0.0,2268,306,1637,325,1060,1208,150,792,118,156,845,207,113.96226415,327.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
61727,"POLYGON ((16.83450899175742 52.34285701052679, 16.81989088207287 52.34369883375494, 16.82126979460002 52.3526401472587, 16.83589081546869 52.35179812930608, 16.83450899175742 52.34285701052679))",1.0,0.0,0.0,0.0,1.0,0.0,0.0,62,6,55,1,32,30,0,30,0,4,25,3,93.75,1.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,15.0,0.0
61755,"POLYGON ((16.84142494724095 52.38756228351516, 16.82679226531884 52.38840507985068, 16.82817459219252 52.39734623346981, 16.84281019130326 52.39650324172781, 16.84142494724095 52.38756228351516))",1.0,0.0,0.0,0.0,1.0,0.0,0.0,1812,219,1345,248,854,958,106,632,116,113,713,132,112.17798594,120.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,57.0,0.0
61769,"POLYGON ((16.84558274032785 52.41438506347613, 16.83094129945186 52.41522844547264, 16.83232568088834 52.42416950381669, 16.84697004491803 52.42332592604649, 16.84558274032785 52.41438506347613))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
61785,"POLYGON ((16.84835803639562 52.43226675727747, 16.83371074775531 52.43311053005418, 16.83509650200563 52.44205152509078, 16.84974671528802 52.44120755714911, 16.84835803639562 52.43226675727747))",0.0,0.0,0.0,1.0,0.0,1.0,1.0,1694,242,1220,232,766,928,107,562,97,135,658,135,121.14882506,163.0,0.0,0.0,2.0,2.0,7.0,7.0,5.0,3.0,0.0
61797,"POLYGON ((16.83727332190841 52.36073921600631, 16.82264938693927 52.3615814278885, 16.82402966392829 52.37052267750308, 16.83865651159998 52.36968027060772, 16.83727332190841 52.36073921600631))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,649,116,463,70,311,338,66,222,23,50,241,47,108.68167202,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,23.0,0.0
61811,"POLYGON ((16.84281019130326 52.39650324172781, 16.82817459219252 52.39734623346981, 16.82955760292007 52.40628735504186, 16.84419612214202 52.40544416868766, 16.84281019130326 52.39650324172781))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,671,71,552,48,336,335,34,278,24,37,274,24,99.70238095,26.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0
61824,"POLYGON ((16.84697004491803 52.42332592604649, 16.83232568088834 52.42416950381669, 16.83371074775531 52.43311053005418, 16.84835803639562 52.43226675727747, 16.84697004491803 52.42332592604649))",0.0,0.0,0.0,1.0,0.0,0.0,0.0,519,54,392,73,231,288,25,180,26,29,212,47,124.67532467,21.0,0.0,0.0,13.0,1.0,1.0,6.0,25.0,7.0,0.0
61825,"POLYGON ((16.85252614050279 52.45908906009197, 16.83787007044247 52.45993341960364, 16.83925788711159 52.46887431996561, 16.85391688632463 52.46802976489378, 16.85252614050279 52.45908906009197))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,0,0,3,0,3,0,0,3,0,300.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0
61852,"POLYGON ((16.83589081546869 52.35179812930608, 16.82126979460002 52.3526401472587, 16.82264938693927 52.3615814278885, 16.83727332190841 52.36073921600631, 16.83589081546869 52.35179812930608))",1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,11,0,8,7,0,6,0,0,5,0,87.5,0.0,0.0,0.0,2.0,0.0,0.0,6.0,8.0,32.0,0.0
61938,"POLYGON ((16.84004038653573 52.37862129311728, 16.82541062319897 52.37946389512994, 16.82679226531884 52.38840507985068, 16.84142494724095 52.38756228351516, 16.84004038653573 52.37862129311728))",1.0,0.0,0.0,1.0,1.0,2.0,1.0,1883,259,1352,272,912,971,143,676,93,116,676,179,106.46929824,2.0,0.0,0.0,0.0,1.0,14.0,12.0,6.0,43.0,0.0
61939,"POLYGON ((16.84974671528802 52.44120755714911, 16.83509650200563 52.44205152509078, 16.83648294274026 52.45099248798102, 16.85113608363772 52.45014832476952, 16.84974671528802 52.44120755714911))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,22,0,12,14,3,11,0,3,11,0,116.66666666,1.0,0.0,0.0,3.0,1.0,2.0,4.0,1.0,1.0,0.0
61950,"POLYGON ((16.85113608363772 52.45014832476952, 16.83648294274026 52.45099248798102, 16.83787007044247 52.45993341960364, 16.85252614050279 52.45908906009197, 16.85113608363772 52.45014832476952))",1.0,0.0,0.0,1.0,1.0,0.0,0.0,1463,257,1045,161,678,785,127,478,73,130,567,88,115.78171091,0.0,0.0,0.0,8.0,1.0,0.0,5.0,1.0,13.0,0.0
61995,"POLYGON ((16.84419612214202 52.40544416868766, 16.82955760292007 52.40628735504186, 16.83094129945186 52.41522844547264, 16.84558274032785 52.41438506347613, 16.84419612214202 52.40544416868766))",2.0,0.0,0.0,3.0,2.0,1.0,1.0,2837,308,2113,416,1330,1507,148,1015,167,160,1098,249,113.30827067,169.0,0.0,0.0,2.0,1.0,0.0,37.0,26.0,92.0,0.0
62010,"POLYGON ((16.83865651159998 52.36968027060772, 16.82402966392829 52.37052267750308, 16.82541062319897 52.37946389512994, 16.84004038653573 52.37862129311728, 16.83865651159998 52.36968027060772))",2.0,0.0,0.0,1.0,2.0,0.0,0.0,719,113,532,74,346,373,57,260,29,56,272,45,107.8034682,0.0,0.0,0.0,1.0,0.0,15.0,9.0,1.0,21.0,0.0
62021,"POLYGON ((16.85391688632463 52.46802976489378, 16.83925788711159 52.46887431996561, 16.84064639184914 52.47781518812145, 16.85530832172006 52.47697043735758, 16.85391688632463 52.46802976489378))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,10,1,8,5,3,5,0,0,5,0,62.5,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0
62192,"POLYGON ((16.86161389258456 52.42248054910885, 16.84697004491803 52.42332592604649, 16.84835803639562 52.43226675727747, 16.86300480821528 52.43142118476605, 16.86161389258456 52.42248054910885))",0.0,0.0,0.0,2.0,1.0,1.0,1.0,1976,241,1407,328,946,1030,132,678,136,109,729,192,108.8794926,103.0,0.0,0.0,6.0,5.0,9.0,5.0,23.0,22.0,0.0
62219,"POLYGON ((16.85744527693449 52.39565845164692, 16.84281019130326 52.39650324172781, 16.84419612214202 52.40544416868766, 16.85883412747211 52.40459918252927, 16.85744527693449 52.39565845164692))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,3,0,3,0,0,0,0,0,0,0,50.0,0.0,0.0,0.0,4.0,2.0,0.0,11.0,13.0,16.0,0.0
